Dato,Antal Aktive minutter,Kalorier (kcal),Distance (m),Hjertepoint,Hjerteminutter,Gennemsnitlig hastighed (m/s),Højeste hastighed (m/s),Laveste hastighed (m/s),Antal skridt,Varighed af Gang (ms)
2021-10-22,98,447.31811302900314,7334.137860298157,67.0,66,1.0528465950972994,1.7102196216583252,0.745607316493988,10396,5805138
2021-10-23,201,919.3023767471313,16306.812421798706,181.0,181,1.1941400691734816,1.5115768909454346,0.6480827331542969,22540,11930385
2021-10-24,116,524.3772859573364,9176.950092315674,92.0,92,1.2237349756441653,1.5908238887786865,0.7067341804504395,12695,6805185
2021-10-25,117,534.4588494300842,10120.107552528381,114.0,114,0.9740182980270969,1.5517425537109375,0.6896578073501587,13770,6936020
2021-10-26,139,630.2699298858643,11243.132415771484,115.0,115,1.2295495828521923,1.4950696229934692,0.9614087343215942,15592,8179423
2021-10-27,91,417.7338604927063,7186.057447433472,67.0,67,0.955478049063425,1.5946155786514282,0.6691322326660156,9877,5421204
2021-10-28,84,394.8589515686035,7518.7181396484375,84.0,84,1.4803726407975517,1.4994250535964966,1.4486095905303955,10179,5045114
2021-10-29,153,702.4182614088058,12558.259868144989,132.0,132,0.9851737410319249,1.5413867235183716,0.6106694340705872,17356,9115739
2021-10-30,169,772.1947032213211,13530.542004108429,155.0,155,1.1136357967058044,1.4842932224273682,0.7598372101783752,18841,10021273
2021-10-31,100,451.6978710889816,9121.861711502075,93.0,93,1.3632525612430937,1.6364833116531372,1.0770957469940186,12157,5861977
2021-11-01,87,392.555029630661,7658.561169624329,92.0,83,1.2359799929271644,1.7129437923431396,0.7315766215324402,10326,5094442
2021-11-02,90,403.287406206131,6479.494581222534,70.0,70,1.0243665170554623,1.3802074193954468,0.6583239436149597,9192,5233723
2021-11-03,93,430.4008820652962,8036.340882778168,91.0,91,1.1107346997821435,1.5275357961654663,0.7756074666976929,10988,5585592
2021-11-04,101,456.38599640130997,8138.545480728149,88.0,88,1.2668434682755676,1.5066580772399902,0.9275765419006348,11297,5922818
2021-11-05,97,439.3806264400482,7780.4286823272705,83.0,83,1.2790324202981933,1.5054833889007568,0.7581181526184082,10798,5702128
2021-11-06,147,673.9826439619064,11371.943170070648,136.0,136,1.144542564229517,1.3613637685775757,0.696395754814148,16076,8746711
2021-11-07,96,431.5851482152939,7057.040614128113,76.0,76,0.9827258539146959,1.499262809753418,0.7259520292282104,10040,5600961
2021-11-08,95,433.8996161222458,8742.827838420868,93.0,93,1.5623173730629798,1.5897098779678345,1.4604263305664062,11674,5630997
2021-11-09,194,884.9345502853394,16307.708801269531,170.0,170,1.324247387024077,1.5617989301681519,0.7840791940689087,22378,11484371
2021-11-10,117,532.9702303409576,9582.670301437378,113.0,113,1.330938301399797,1.460051417350769,0.7920676469802856,13274,6916701
2021-11-11,19,85.27752715349197,1435.2656784057617,17.0,17,1.233105009232481,1.4436304569244385,0.7623718976974487,2026,1106702
